date,총계,확진자,격리해제,격리중,사망,검사중,결과 음성
2020-03-01,96985,3526,30,3479,17,32422,61037
2020-03-02,109591,4212,31,4159,22,33799,71580
2020-03-03,125851,4812,34,4750,28,35555,85484
2020-03-04,136707,5328,41,5255,32,28414,102965
2020-03-05,146541,5766,88,5643,35,21810,118965
2020-03-06,164740,6284,108,6134,42,21832,136624
2020-03-07,178189,6767,118,6605,44,19620,151802
2020-03-08,188518,7134,130,6954,50,19376,162008
2020-03-09,196618,7382,166,7165,51,17458,171778
2020-03-10,210144,7513,247,7212,54,18452,184179
2020-03-11,222395,7755,288,7407,60,18540,196100
2020-03-12,234998,7869,333,7470,66,17727,209402
2020-03-13,248647,7979,410,7402,67,17940,222728
2020-03-14,261335,8086,714,7300,72,17634,235615
2020-03-15,268212,8162,834,7253,75,16272,243778
2020-03-16,274504,8236,1137,7024,75,14971,251297
2020-03-17,286716,8321,1401,6838,81,17291,261105
2020-03-18,295647,8413,1540,6789,84,16346,270888
2020-03-19,307024,8565,1947,6527,91,15904,282555
2020-03-20,316664,8652,2233,6325,94,15525,292487
2020-03-21,327509,8799,2612,6085,102,15704,303006
2020-03-22,331780,8897,2909,5884,104,14540,308343
2020-03-23,338036,8961,3166,5684,111,13628,315447
2020-03-24,348582,9037,3507,5410,120,15440,324105
2020-03-25,357896,9137,3730,5281,126,14278,334481
2020-03-26,364942,9241,4144,4966,131,14369,341332
2020-03-27,376961,9332,4528,4665,139,15219,352410
2020-03-28,387925,9478,4811,4523,144,16564,361883
2020-03-29,394141,9583,5033,4398,152,15028,369530
2020-03-30,395194,9661,5228,4275,158,13531,372002
2020-03-31,410564,9786,5408,4216,162,16892,383886
2020-04-01,421547,9887,5567,4155,165,16585,395075
